wallet,deposit_count,deposit_usd,borrow_count,borrow_usd,repay_count,repay_usd,redeem_count,redeem_usd,liquidation_count,score
0x0607aa9076c72dab964a04dbf73ef9ba58206997,21,166503.4669415184,11,172379.608857013,9,184666.78290771652,10,178510.3177637643,0,1000
0x00000029ff545c86524ade7caf132527707948c4,12,2.702869616699664e+24,12,1.2077217080436112e+24,12,1.204499661764612e+24,11,2.6942968530560596e+24,0,1000
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,101,1.1393600158554047e+22,24,4.861932248327486e+21,93,9.351319572916939e+20,11,3.8149813393346506e+21,2,1000
0x02d77fc7307cd7ec962eda62d25936156a7a6492,31,1.4299079237854673e+21,16,1.4203120519404548e+21,13,6.558512187486804e+20,18,6.697289233411704e+20,0,1000
0x05fc68f4b7714389a17128653f82d50bee98e542,50,6.986414479644391e+21,19,9.617376705748421e+21,21,3.2561834083359334e+21,38,1.5024279002407644e+22,0,1000
0x00e22b85d329650e35a9d664b7c408a57820f13f,56,1.4064073198234832e+23,20,106975.73110847552,15,83500.32051893594,65,2.117110087477383e+23,0,1000
0x00da65b9d6ea469301021381f9b16cf3e80fa8b1,111,5984462.579806088,59,6224694.086189908,56,6230401.246077198,44,6523287.98419114,0,1000
0x0508c3a6cb083b03d760a2cd7bd28a0a32a63e84,117,1.9493506346033026e+23,88,4.232654215133823e+23,48,3.245348902534277e+23,35,1.4116491108761709e+23,0,1000
0x05069a643656f4d38df42b054c3c25ce75c53cfb,65,1.1894078608310107e+21,13,3.5728157011218334e+20,13,1.4969782380980925e+20,37,6.428643315453753e+20,1,1000
0x00e839bc0c9a130afe30974914c4b0100756cff4,278,1.304125012876836e+20,82,5.999839313910137e+22,29,5.406358567409652e+22,79,3.567390375813187e+22,0,1000
0x00f5481262d4845b292ba0c41752de258b3bbeec,27,1.0258546346774733e+23,10,1.8506393878912748e+22,9,1.8475238251197314e+22,37,1.0440305480193221e+23,0,1000
0x04f648bb839033bba7c6341529bd7dd6fd6d413e,62,346852.3034995408,31,4.4036758863922365e+22,29,4.405284114667233e+22,26,1.452951426237149e+22,0,1000
0x04f1d25968cc1ad76e773d1b06acee6c502c93dd,56,2.0758167691600703e+21,39,5776.092744518687,22,2511.515080225589,32,2.059694664296073e+21,0,1000
0x04fdac80b3ca0b9066bd275f176dc807e3908a8e,21,4.0708310362109976e+21,8,8230.856014759085,10,8243.52828957774,27,4.621743465008025e+21,0,1000
0x04fb136989106430e56f24c3d6a473488235480e,279,4.934335070424149e+22,160,160017.6253544515,20,19161.48464640949,15,1.0681805099162332e+21,0,1000
0x00b8bfc0b407187392aa9fe56eaa7c17b5ebec48,42,5.392832624031657e+20,37,3.529096023725234e+20,15,3.526440226670078e+20,15,5.387023414770623e+20,0,1000
0x0540003bbd356a49bc2e74a3f8f872dc318dc46b,30,418677.9185275533,22,1.0219193997669133e+23,21,4.035038563373194e+22,18,5.173639103740403e+22,0,1000
0x05404b6f8990a4108150366adb572a870b137edc,232,1.503915378514451e+22,59,2.6697476087912847e+21,71,2.660316240144524e+21,111,1.2925320123471635e+22,0,1000
0x04f14602b7d1fdaa374aef914bb161e5cbeba6e6,87,3.6457572251117715e+22,34,3.524217629418387e+21,26,3.50764187941942e+21,32,2.4004706271513916e+22,1,1000
0x04ee10fd378f7cad5ac5751d7cd0f42b13ee3b76,294,2.931203272463893e+22,31,5.976638663553419e+21,37,5.976638860958455e+21,119,4.446138031160081e+22,0,1000
0x00f8a06340b52aee151b871a915c06af3c053470,177,1.1105012541232033e+21,101,3.779062721868419e+19,30,3.780815002896725e+19,55,1.0906766134712018e+21,0,1000
0x00b44f149ddb22209db070da0bca4bb01a6e555c,83,640786.1245019072,60,1.8074940558541324e+22,18,1.7929970008615775e+22,26,2.082258944581456e+22,0,1000
0x052f348a45620f2c26926d2b58548c7eaeadf870,80,8.914113072096825e+22,16,7.399572339052443e+21,13,7.396031004337359e+21,57,1.7006748131931034e+23,0,1000
0x00b591bc2b682a0b30dd72bac9406bfa13e5d3cd,49,1654900.3654852854,33,858790.475825326,16,465565.87303143705,15,2.738669337890641e+22,1,1000
0x00b43a92d45ccdfeef6ea98d56f775586fe9e39e,56,4.435470677470978e+20,23,8.527377844669836e+20,31,8.653620589551225e+20,79,8.656018896427784e+21,0,1000
0x0309146e7b8baefa23f193632ef74602768af954,113,9.849341239715487e+21,62,2.2210530589548274e+21,57,2.2184600001485393e+21,97,1.0024616943459961e+22,0,1000
0x030d9f55c7f7589034b829a87bf3bd84d6682a18,4,804857.1788281009,15,2211581.591624056,11,2215017.15495346,13,7.977060540422331e+22,0,1000
0x05ea34e37b28962b9f17fce9cff68637ebb80e58,9,3.227481803706974e+20,19,2413.905204826966,11,1613.4782521011414,0,0.0,0,1000
0x029f19fc5a2425a4f04c3e1f6855af0afbcc3c93,61,2.7166854109307614e+20,38,760.6358477323947,22,760.0003152045074,39,2.963341087787221e+20,0,1000
0x02a0f1a59940dddb35a38327e93d7abb49e285b1,22,2.855866024378315e+21,20,4.006420176750665e+20,59,4.0095330299074504e+20,14,2.7161729459192736e+21,0,1000
0x02ffb9b4bbc29f9a59b20c541d369c5add62a5a3,56,581476.7375165279,40,2.834584060945656e+22,28,2.8137233809475197e+22,126,3.5860262446215696e+22,0,1000
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,61,1.8281907050425336e+21,26,3061.402672207238,12,2528.028174943289,9,1.8334819498468468e+21,0,1000
0x002d2715b179d0db3e17cc28317a98f2f65e6884,98,9.304916496042776e+22,64,8.025123175227585e+21,38,7.999493743301741e+21,53,8.261050791211382e+22,0,1000
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,37,9.434955631312954e+22,11,5.4522494083605e+22,11,5.360594567060866e+22,8,9.37673838103479e+22,0,1000
0x002de04d579930686698abab5f48bda0b24fb9fc,32,2.7822624726010964e+21,13,43067.64650300531,15,43774.10099962049,25,2.447707045039492e+21,0,1000
0x05ed735c93879d84d082425572fe5ff827a0db56,42,1.441678882675145e+21,27,8.253609989803922e+20,19,7.549625077604677e+20,34,1.5824574509470395e+21,0,1000
0x05ee3c534b3c640889148539568847b034424be8,30,5.551874868766561e+20,17,1.0426904099469376e+21,12,1.0457091699105074e+21,12,9.925893018508459e+20,0,1000
0x02f11fe7a88805f3afbe76f28d0ee7b090d4e99b,52,1.67428954063043e+23,28,4.897800260809408e+21,28,4.899279079058163e+21,22,1.4620148237345434e+23,0,1000
0x02eca8cc78b7d30c1ac5e16988ed2c8a9da658d6,32,1.2547106893191477e+25,21,2.004992332363857e+24,71,2.012503054263622e+24,43,4.4622701976588056e+24,0,1000
0x02faf4316dcb9330751f3677436aa849aa93851b,46,4.375837537472216e+22,63,3.9350546082973e+22,72,4.360853313975419e+22,67,4.768070389987775e+22,0,1000
